Country,"Density
(P/Km2)",Agricultural Land( %),Land Area(Km2),Birth Rate,CPI,CPI Change (%),Currency-Code,Fertility Rate,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Life expectancy,Maternal mortality ratio,Minimum wage,Out of pocket health expenditure,Population,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population
Sierra Leone,111,0.55,"71,740",33.41,234.16,0.15,SLL,4.26,3941474311,1.13,0.02,78.5,54.3,1120,0.57,0.38,"7,813,215",0.58,0.09,0.31,0.04,"3,319,366"
Slovakia,114,0.39,"49,035",10.6,115.34,0.03,EUR,1.52,1.05422E+11,0.99,0.47,4.6,77.2,5,3.11,0.18,"5,454,073",0.6,0.19,0.5,0.06,"2,930,419"
Slovenia,103,0.31,"20,273",9.4,111.05,0.02,EUR,1.6,53742159517,1,0.79,1.7,81,7,5.25,0.13,"2,087,946",0.58,0.19,0.31,0.04,"1,144,654"
South Korea,527,0.17,"99,720",6.4,115.16,0,KRW,0.98,2.029E+12,0.98,0.94,2.7,82.6,11,6.49,0.37,"51,709,098",0.63,0.16,0.33,0.04,"42,106,719"
Spain,94,0.53,"505,370",7.9,110.96,0.01,EUR,1.26,1.39412E+12,1.03,0.89,2.5,83.3,4,5.6,0.24,"47,076,781",0.58,0.14,0.47,0.14,"37,927,409"
Sri Lanka,341,0.44,"65,610",15.83,155.53,0.04,LKR,2.2,84008783756,1,0.2,6.4,76.8,36,0.35,0.38,"21,803,000",0.54,0.12,0.55,0.04,"4,052,088"
Sudan,25,0.29,"1,861,484",32.18,"1,344.19",0.51,SDG,4.41,18902284476,0.77,0.17,42.1,65.1,295,0.41,0.63,"42,813,238",0.48,0.08,0.45,0.17,"14,957,233"
Syria,95,0.76,"185,180",23.69,143.2,0.37,SYP,2.81,40405006007,0.82,0.4,14,71.8,31,1.02,0.54,"17,070,135",0.44,0.14,0.43,0.08,"9,358,019"
Tajikistan,68,0.34,"144,100",30.76,148.57,0.06,TJS,3.59,8116626794,1.01,0.31,30.4,70.9,17,0.23,0.63,"9,321,018",0.42,0.1,0.67,0.11,"2,545,477"
Tanzania,67,0.45,"947,300",36.7,187.43,0.04,TZS,4.89,63177068175,0.94,0.04,37.6,65,524,0.09,0.26,"58,005,463",0.83,0.12,0.44,0.02,"20,011,885"
Thailand,137,0.43,"513,120",10.34,113.27,0.01,THB,1.53,5.4365E+11,1,0.49,7.8,76.9,37,1.06,0.12,"69,625,582",0.67,0.15,0.3,0.01,"35,294,600"
East Timor,89,0.26,"14,874",29.42,145.38,0.03,USD,4.02,1673540300,1.15,0.18,39.3,69.3,142,0.6,0.1,"3,500,000",0.67,0.25,0.17,0.05,"400,182"
Togo,152,0.7,"56,785",33.11,113.3,0.01,XOF,4.32,5459979417,1.24,0.15,47.4,60.8,396,0.34,0.51,"8,082,366",0.78,0.17,0.48,0.02,"3,414,638"
